x,y,z
26.600000381469727,97.80000305175781,74.4000015258789
64.19999694824219,2.9000000953674316,61.900001525878906
33.70000076293945,98.5999984741211,7.300000190734863
28.399999618530273,29.700000762939453,63.5
39.400001525878906,38.20000076293945,82.69999694824219
13.399999618530273,12.399999618530273,27.799999237060547
7.199999809265137,7.900000095367432,11.100000381469727
41.70000076293945,28.5,54.900001525878906
62.0,15.800000190734863,16.399999618530273
88.80000305175781,80.19999694824219,42.400001525878906
24.5,41.099998474121094,39.400001525878906
61.400001525878906,61.900001525878906,91.80000305175781
37.5,23.200000762939453,87.0
0.0,76.80000305175781,30.600000381469727
75.0,13.5,73.4000015258789
77.5,91.5,96.0
88.19999694824219,41.70000076293945,32.0
25.799999237060547,62.400001525878906,22.5
95.0999984741211,7.800000190734863,88.80000305175781
7.599999904632568,99.0,36.900001525878906
75.19999694824219,21.5,51.400001525878906
47.79999923706055,92.9000015258789,93.30000305175781
75.30000305175781,78.19999694824219,89.5
63.20000076293945,98.80000305175781,99.5999984741211
20.200000762939453,0.699999988079071,24.5
32.099998474121094,64.5999984741211,6.5
9.699999809265137,45.70000076293945,6.099999904632568
28.200000762939453,6.099999904632568,67.5
51.599998474121094,9.899999618530273,58.70000076293945
89.69999694824219,71.19999694824219,97.80000305175781
62.70000076293945,39.400001525878906,96.5
30.399999618530273,52.70000076293945,38.599998474121094
9.699999809265137,97.30000305175781,90.0
22.0,96.0,36.70000076293945
68.0,2.9000000953674316,83.5999984741211
38.599998474121094,19.399999618530273,16.299999237060547
79.5,66.0999984741211,94.69999694824219
39.29999923706055,38.79999923706055,87.80000305175781
33.20000076293945,3.0,59.400001525878906
24.600000381469727,87.5999984741211,77.5999984741211
41.099998474121094,77.80000305175781,97.80000305175781
88.4000015258789,95.80000305175781,13.800000190734863
87.4000015258789,93.4000015258789,81.4000015258789
